@id,name,highway,place,highway_valid,name_type
23110295,бульвар Ярослава Гашека,living_street,,False,бульвар
23118854,Фанерний провулок,residential,,,провулок
23120534,проспект Миру,secondary,,,проспект
23120907,Вифлеємська вулиця,residential,,,вулиця
23127838,вулиця Казимира Малевича,secondary,,,вулиця
23145425,проспект Романа Шухевича,primary,,,проспект
23145427,Північний міст,primary,,,міст
23145462,Труханівська вулиця,primary_link,,,вулиця
23152031,площа Андрія Первозваного,secondary,,,площа
23154462,вулиця Георгія Тороповського,residential,,,вулиця
23154466,вулиця Сергія Набоки,residential,,,вулиця
23154468,Краківська вулиця,residential,,,вулиця
23154473,бульвар Івана Котляревського,residential,,,бульвар
23154679,Миропільська вулиця,trunk,,,вулиця
23155388,вулиця Олександра Лазаревського,residential,,,вулиця
23156282,вулиця Григорія Чупринки,residential,,,вулиця
23196450,Німецька вулиця,residential,,,вулиця
23196712,вулиця Івана Федорова,secondary,,,вулиця
23234173,проспект Науки,secondary,,,проспект
23239901,площа Конотопської Битви,tertiary,,,площа
23239933,Автозаводська вулиця,primary,,,вулиця
23240015,Лугова вулиця,secondary,,,вулиця
23240082,бульвар Миколи Міхновського,trunk,,,бульвар
23240104,Берестейський проспект,primary,,,проспект
23260778,міст Метро,primary,,,міст
23335712,Золотоустівська вулиця,residential,,,вулиця
23349944,вулиця Глібова,residential,,,вулиця
23480099,вулиця Академіка Заболотного,trunk,,,вулиця
23480106,Дніпровське шосе,primary,,,шосе
23480110,Столичне шосе,primary,,,шосе
23491273,Берестейське шосе,trunk,,,шосе
23491758,проспект Академіка Палладіна,trunk,,,проспект
23492199,Велика Кільцева дорога,primary,,,дорога
23551396,вулиця Лілії Лобанової,residential,,,вулиця
23561552,Еспланадна вулиця,secondary,,,вулиця
23561555,Басейна вулиця,primary,,,вулиця
23561557,бульвар Лесі Українки,primary,,,бульвар
23577707,Каштанова вулиця,tertiary,,,вулиця
23649860,Урлівська вулиця,residential,,,вулиця
23650181,вулиця Міста Шалетт,residential,,,вулиця
23650186,вулиця Мрії,tertiary,,,вулиця
23651986,вулиця Олександра Копиленка,residential,,,вулиця
23651988,вулиця Панаса Мирного,residential,,,вулиця
23671343,Виноградний провулок,living_street,,False,провулок
23672803,Приозерна вулиця,residential,,,вулиця
23676573,вулиця Павла Загребельного,residential,,,вулиця
23678545,бульвар Марії Приймаченко,residential,,,бульвар
23680552,вулиця Катерини Білокур,tertiary,,,вулиця
23680616,Політехнічна вулиця,pedestrian,,,вулиця
23680738,вулиця Михайла Брайчевського,residential,,,вулиця
23681345,вулиця Дмитра Годзенка,residential,,,вулиця
23691053,Квітневий провулок,residential,,,провулок
23691120,проспект Свободи,tertiary,,,проспект
23691137,проспект Василя Порика,tertiary,,,проспект
23691238,вулиця Світлицького,residential,,,вулиця
23691778,Різницька вулиця,residential,,,вулиця
23691815,Польовий провулок,living_street,,False,провулок
23691821,вулиця Олекси Тихого,tertiary,,,вулиця
23691989,Бердичівська вулиця,residential,,,вулиця
23692840,Кловська площа,service,,,площа
23692867,вулиця Соломії Крушельницької,residential,,,вулиця
23692944,Іжкарська вулиця,residential,,,вулиця
23693031,Трускавецька вулиця,service,,,вулиця
23693078,вулиця Академіка Янгеля,tertiary,,,вулиця
23693197,Алея сакур,footway,,False,алея
23693548,Притисько-Микільська вулиця,residential,,,вулиця
23693648,Пшенична вулиця,unclassified,,,вулиця
23693665,вулиця Миру,service,,,вулиця
23693825,Проектна вулиця,unclassified,,,вулиця
23693907,вулиця Якова Качури,residential,,,вулиця
23693930,вулиця Миколи Василенка,secondary,,,вулиця
23694028,Арсенальна вулиця,residential,,,вулиця
23694046,Редутний провулок,residential,,,провулок
23694058,вулиця Добровольчих Батальйонів,residential,,,вулиця
23694079,Радіальна вулиця,residential,,,вулиця
23694091,Козятинська вулиця,residential,,,вулиця
23694423,Старовокзальна площа,,square,,площа
23694878,Зоологічна вулиця,tertiary,,,вулиця
23694895,Молдовська вулиця,service,,,вулиця
23705046,32-га Садова вулиця,residential,,,вулиця
23705059,34-та Садова вулиця,residential,,,вулиця
23705063,31-ша Садова вулиця,residential,,,вулиця
23705070,33-тя Садова вулиця,residential,,,вулиця
23705071,30-та Садова вулиця,residential,,,вулиця
23705073,29-та Садова вулиця,residential,,,вулиця
23705077,28-ма Садова вулиця,residential,,,вулиця
23705079,27-ма Садова вулиця,residential,,,вулиця
23705087,24-та Садова вулиця,residential,,,вулиця
23705089,23-тя Садова вулиця,residential,,,вулиця
23705092,22-га Садова вулиця,residential,,,вулиця
23705094,21-ша Садова вулиця,residential,,,вулиця
23705101,20-та Садова вулиця,residential,,,вулиця
23705105,19-та Садова вулиця,residential,,,вулиця
23705112,18-та Садова вулиця,residential,,,вулиця
23705121,17-та Садова вулиця,residential,,,вулиця
23705124,16-та Садова вулиця,residential,,,вулиця
23705126,15-та Садова вулиця,residential,,,вулиця
23705131,12-та Садова вулиця,residential,,,вулиця
23705133,11-та Садова вулиця,steps,,False,вулиця
